"countryname","country","election","pec","party1","party2","threshold","incompatibility","polarization","average_magnitude","seatshare1","seatshare2","seatlag1","seatlag2","per_vote1","per_vote2","votelag1","votelag2","in_govt2","in_govt1","enep","twoparty","ident","caseID","iso3","edate","year","electionId","pecId","party1Name","party1Fam","party2Name","party2Fam","sameFamily","party1pos","party2pos","govCoalition","distance","enep2","polarization2"
"Australia",1,460928,0,63620,63320,35,28.8999996185303,28.8999996185303,1,0.230000004172325,0.579999983310699,NA,NA,32.2900009155273,49.7099990844727,NA,NA,1,0,2.74000000953674,NA,1460928,1,36,1946-09-28,1946,"36.1946-09-28",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,0.354675590991974,3.78273868560791,0,3.42806309461594,2.7448869894837,0.166764144797787
"Australia",1,460928,0,63810,63320,35,58.2999992370605,28.8999996185303,1,0.159999996423721,0.579999983310699,NA,NA,11.3599996566772,49.7099990844727,NA,NA,0,0,2.74000000953674,NA,1460928,2,36,1946-09-28,1946,"36.1946-09-28",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0.238399177789688,3.78273868560791,1,3.54433950781822,2.7448869894837,0.166764144797787
"Australia",1,460928,1,63810,63620,35,29.3999996185303,28.8999996185303,1,0.159999996423721,0.230000004172325,NA,NA,11.3599996566772,32.2900009155273,NA,NA,1,0,2.74000000953674,1,1460928,3,36,1946-09-28,1946,"36.1946-09-28",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0.238399177789688,0.354675590991974,0,0.116276413202286,2.7448869894837,0.166764144797787
"Australia",1,491210,0,63620,63320,35,50.7999992370605,50.7999992370605,1,0.449999988079071,0.389999985694885,0.230000004172325,0.579999983310699,39.3899993896484,45.9799995422363,32.2900009155273,49.7099990844727,0,1,2.64000010490417,NA,1491210,1,36,1949-12-10,1949,"36.1949-12-10",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,0.35669082403183,-0.0222558528184891,0,0.378946676850319,2.64266385264685,0.0192575113479594
"Australia",1,491210,0,63810,63320,35,15.8000001907349,50.7999992370605,1,0.159999996423721,0.389999985694885,0.159999996423721,0.579999983310699,10.8699998855591,45.9799995422363,11.3599996566772,49.7099990844727,0,1,2.64000010490417,NA,1491210,2,36,1949-12-10,1949,"36.1949-12-10",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0.414625316858292,-0.0222558528184891,0,0.436881169676781,2.64266385264685,0.0192575113479594
"Australia",1,491210,1,63810,63620,35,66.5999984741211,50.7999992370605,1,0.159999996423721,0.449999988079071,0.159999996423721,0.230000004172325,10.8699998855591,39.3899993896484,11.3599996566772,32.2900009155273,1,1,2.64000010490417,1,1491210,3,36,1949-12-10,1949,"36.1949-12-10",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0.414625316858292,0.35669082403183,1,0.0579344928264618,2.64266385264685,0.0192575113479594
"Australia",1,510428,0,63620,63320,35,70.9000015258789,70.9000015258789,1,0.430000007152557,0.430000007152557,0.449999988079071,0.389999985694885,40.6199989318848,47.6300010681152,39.3899993896484,45.9799995422363,0,1,2.49000000953674,NA,1510428,1,36,1951-04-28,1951,"36.1951-04-28",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,1.02252995967865,4.9320764541626,0,3.90954649448395,2.49160635313446,0.205185258271671
"Australia",1,510428,0,63810,63320,35,17,70.9000015258789,1,0.140000000596046,0.430000007152557,0.159999996423721,0.389999985694885,9.72000026702881,47.6300010681152,10.8699998855591,45.9799995422363,0,1,2.49000000953674,NA,1510428,2,36,1951-04-28,1951,"36.1951-04-28",6381063320,"CP Country Party",80,"ALP Australian Labor Party",30,0,0,4.9320764541626,0,4.9320764541626,2.49160635313446,0.205185258271671
"Australia",1,510428,1,63810,63620,35,53.9000015258789,70.9000015258789,1,0.140000000596046,0.430000007152557,0.159999996423721,0.449999988079071,9.72000026702881,40.6199989318848,10.8699998855591,39.3899993896484,1,1,2.49000000953674,1,1510428,3,36,1951-04-28,1951,"36.1951-04-28",6381063620,"CP Country Party",80,"LPA Liberal Party of Australia",60,0,0,1.02252995967865,1,1.02252995967865,2.49160635313446,0.205185258271671
"Australia",1,540529,0,63620,63320,35,32,32,1,0.389999985694885,0.469999998807907,0.430000007152557,0.430000007152557,38.5499992370605,50.0299987792969,40.6199989318848,47.6300010681152,0,1,2.46000003814697,NA,1540529,1,36,1954-05-29,1954,"36.1954-05-29",6362063320,"LPA Liberal Party of Australia",60,"ALP Australian Labor Party",30,0,-0.0493651404976845,-0.130600899457932,0,0.081235758960247,2.46197313297024,0.0248035565205935
