date,cducsu,spd,greens,fdp,left,pirates,afd
1/25/1991,45,33,7,11,2,,
2/15/1991,43,35,7,10,2,,
3/15/1991,42,37,7,10,2,,
4/26/1991,41,38,7,10,2,,
5/24/1991,41,39,6,10,2,,
6/14/1991,40,40,6,9,2,,
8/23/1991,40,40,6,9,2,,
9/27/1991,40,40,6,9,2,,
10/18/1991,41,39,7,9,1,,
11/8/1991,41,38,8,9,1,,
12/13/1991,42,38,8,8,1,,
1/31/1992,42,38,8,8,1,,
2/21/1992,41,39,8,8,1,,
3/20/1992,42,38,8,7,2,,
4/10/1992,39,38,8,8,2,,
5/15/1992,38,38,9,8,2,,
6/19/1992,38,37,9,8,2,,
7/10/1992,38,37,9,8,2,,
9/18/1992,37,37,9,8,2,,
10/16/1992,38,37,8,8,2,,
11/13/1992,39,36,8,8,2,,
12/11/1992,38,37,8,8,2,,
1/22/1993,37,37,9,8,2,,
2/19/1993,36,38,10,7,2,,
3/19/1993,36,36,10,8,2,,
4/23/1993,37,36,10,7,2,,
5/14/1993,38,35,10,7,2,,
6/18/1993,38,36,10,7,2,,
7/9/1993,38,37,9,7,2,,
9/24/1993,37,37,10,6,2,,
10/15/1993,36,38,10,6,2,,
11/12/1993,37,38,10,6,2,,
12/10/1993,37,39,10,6,2,,
1/21/1994,36,39,10,6,3,,
2/25/1994,37,39,9,6,3,,
3/25/1994,36,39,9,6,3,,
4/22/1994,37,39,9,5,3,,
5/20/1994,38,39,8,5,3,,
6/24/1994,40,36,9,5,4,,
8/26/1994,41,36,9,6,4,,
9/23/1994,41,37,8,6,4,,
10/28/1994,42,37,8,6,4,,
11/25/1994,42,37,8,6,4,,
12/16/1994,43,36,9,5,4,,
1/27/1995,42,37,9,5,4,,
2/24/1995,41,37,9,5,4,,
3/24/1995,41,37,9,5,4,,
4/28/1995,41,37,9,5,4,,
5/19/1995,42,36,10,4,4,,
6/23/1995,42,36,10,4,4,,
7/14/1995,43,35,10,4,4,,
9/15/1995,43,34,11,5,4,,
10/13/1995,45,32,12,4,4,,
11/17/1995,45,32,12,4,4,,
12/15/1995,45,32,12,4,4,,
1/19/1996,44,32,12,4,4,,
2/16/1996,43,33,12,4,4,,
3/15/1996,44,33,12,4,4,,
4/19/1996,43,32,12,6,4,,
5/24/1996,43,32,12,6,4,,
6/21/1996,42,33,12,6,4,,
8/23/1996,41,35,11,5,4,,
9/20/1996,41,35,11,5,4,,
10/18/1996,41,35,11,5,4,,
11/15/1996,42,34,12,5,4,,
12/13/1996,42,34,12,5,4,,
1/17/1997,42,33,12,5,4,,
2/21/1997,40,35,11,5,4,,
3/21/1997,39,35,12,5,4,,
4/18/1997,39,36,11,5,4,,
5/16/1997,38,38,10,5,4,,
6/20/1997,37,38,11,6,4,,
8/29/1997,36,40,10,6,4,,
9/26/1997,37,39,9,6,4,,
10/17/1997,38,38,9,6,4,,
11/14/1997,37,38,10,6,4,,
12/12/1997,37,38,10,6,4,,
1/16/1998,37,38,10,6,4,,
2/13/1998,37,39,10,6,4,,
3/13/1998,36,41,9,5,4,,
4/17/1998,35,43,8,5,4,,
5/15/1998,35,43,8,5,4,,
6/19/1998,36,42,8,5,4,,
7/17/1998,37,42,7,5,4,,
8/14/1998,38,42,6,5,4,,
9/4/1998,38,41,6,5,4,,
9/11/1998,37,41,6,6,4,,
9/18/1998,38,40,6,6,5,,
10/16/1998,35,44,6,5,4,,
11/13/1998,35,44,7,4,4,,
12/11/1998,36,44,7,4,4,,
1/22/1999,37,44,6,4,4,,
2/26/1999,39,42,6,4,4,,
3/19/1999,41,41,5,5,4,,
4/16/1999,41,41,5,5,4,,
5/21/1999,42,40,5,5,4,,
6/25/1999,44,38,5,5,4,,
7/23/1999,44,38,5,5,5,,
8/20/1999,45,36,5,5,5,,
9/24/1999,47,34,5,5,5,,
10/15/1999,47,33,6,4,6,,
11/12/1999,48,33,5,4,6,,
12/10/1999,45,36,5,4,6,,
1/21/2000,40,39,6,5,6,,
2/18/2000,35,42,7,6,6,,
3/17/2000,35,43,6,6,5,,
